id,about,prefLabel,lang,altLabel,broader,facetaAcronimo,faceta,prefNodeId
2,federal,Federal,pt-BR,,,,Federal,label_5
3,estadual,Estadual,pt-BR,,,,Estadual,label_6
4,municipal,Municipal,pt-BR,,,,Municipal,label_7
5,senado.federal,"Senado Federal",pt-BR,SF,,SF – Senado Federal,Federal::Legislativo::Senado Federal,label_28
6,camara.deputados,"Câmara dos Deputados",pt-BR,CD,,CD – Câmara dos Deputados,Federal::Legislativo::Câmara dos Deputados,label_35
7,tribunal.contas.uniao,"Tribunal de Contas da União",pt-BR,TCU,,TCU – Tribunal de Contas da União,Federal::Legislativo::Tribunal de Contas da União,label_36
8,supremo.tribunal.federal,"Supremo Tribunal Federal",pt-BR,STF,,STF – Supremo Tribunal Federal,Federal::Judiciário::Supremo Tribunal Federal,label_37
9,superior.tribunal.justica,"Superior Tribunal de Justiça",pt-BR,STJ,,STJ – Superior Tribunal de Justiça,Federal::Judiciário::Superior Tribunal de Justiça,label_42
10,tribunal.superior.eleitoral,"Tribunal Superior Eleitoral",pt-BR,TSE,,TSE – Tribunal Superior Eleitoral,Federal::Judiciário::Tribunal Superior Eleitoral,label_44
11,tribunal.superior.trabalho,"Tribunal Superior do Trabalho",pt-BR,TST,,TST – Tribunal Superior do Trabalho,Federal::Judiciário::Tribunal Superior do Trabalho,label_46
12,superior.tribunal.militar,"Superior Tribunal Militar",pt-BR,STM,,STM – Superior Tribunal Militar,Federal::Judiciário::Superior Tribunal Militar,label_48
13,advocacia.geral.uniao,"Advocacia-Geral da União",pt-BR,AGU,,AGU – Advocacia-Geral da União,Federal::Advocacia-Geral da União,label_50
14,ministerio.justica,"Ministério da Justiça",pt-BR,MJ,,MJ – Ministério da Justiça,Federal::Executivo::Ministério da Justiça,label_52
15,procuradoria.geral.republica,"Procuradoria Geral da República",pt-BR,PGR,,PGR – Procuradoria Geral da República,Federal::Procuradoria Geral da República,label_54
19,congresso.nacional,"Congresso Nacional",pt-BR,CN,,CN – Congresso Nacional,Federal::Legislativo::Congresso Nacional,label_72
24,assembleia.legislativa,"Assembléia Legislativa",pt-BR,AL,,AL – Assembléia Legislativa,Estadual::Legislativo::Assembléia Legislativa,label_85
25,camara.municipal,"Câmara Municipal",pt-BR,CM,,CM – Câmara Municipal,Municipal::Legislativo::Câmara Municipal,label_87
26,camara.legislativa,"Câmara Legislativa",pt-BR,"Câmara Distrital",,CL – Câmara Legislativa,Distrital::Legislativo::Câmara Legislativa,label_89
41,imprensa.nacional,"Imprensa Nacional",pt-BR,IN,,IN – Imprensa Nacional,Federal::Executivo::Imprensa Nacional,label_156
42,tribunal.contas.uniao;plenario,"Tribunal de Contas da União. Plenário",pt-BR,,#tribunal.contas.uniao,,Federal::Legislativo::Tribunal de Contas da União::Plenário,label_165
43,tribunal.contas.uniao;camara.1,"Tribunal de Contas da União. 1ª Câmara",pt-BR,,#tribunal.contas.uniao,,Federal::Legislativo::Tribunal de Contas da União::1ª Câmara,label_167
44,tribunal.contas.uniao;camara.2,"Tribunal de Contas da União. 2ª Câmara",pt-BR,,#tribunal.contas.uniao,,Federal::Legislativo::Tribunal de Contas da União::2ª Câmara,label_166
45,distrital,Distrital,pt-BR,,,,Distrital,label_195
46,procuradoria.geral.republica,"Procuradoria Geral da República",pt-BR,PGR,,PGR – Procuradoria Geral da República,Federal::Ministério Público da União::Procuradoria Geral da República,label_218
47,prefeitura,Prefeitura,pt-BR,,,,Municipal::Executivo::Prefeitura,label_232
48,tribunal.superior.eleitoral;plenario,"Tribunal Superior Eleitoral. Plenário",pt-BR,,#tribunal.superior.eleitoral,,Federal::Judiciário::Tribunal Superior Eleitoral::Plenário,label_240
49,ministerio.fazenda,"Ministério da Fazenda",pt-BR,MF,,MF – Ministério da Fazenda,Federal::Executivo::Ministério da Fazenda,label_243
50,ministerio.fazenda;secretaria.receita.federal,"Ministério da Fazenda. Secretaria da Receita Federal",pt-BR,SRF,#ministerio.fazenda,SRF – Secretaria da Receita Federal,Federal::Executivo::Ministério da Fazenda::Secretaria da Receita Federal,label_244
51,"ministerio.fazenda;secretaria.receita.federal,tribunal.superior.eleitoral","Ministério da Fazenda, Secretaria da Receita Federal; Tribunal Superior Eleitoral",pt-BR,,,,,label_255
52,tribunal.superior.eleitoral;corregedoria.geral.eleitoral,"Tribunal Superior Eleitoral. Corregedoria-Geral Eleitoral",pt-BR,CGE,#tribunal.superior.eleitoral,CGE – Corregedoria-Geral Eleitoral,Federal::Judiciário::Tribunal Superior Eleitoral::Corregedoria-Geral Eleitoral,label_247
53,banco.central,"Banco Central",pt-BR,"BC, BACEN, BCB",,"BC, BACEN, BCB – Banco Central",Federal::Executivo::Banco Central,label_250
54,"tribunal.superior.eleitoral;plenario,tribunal.superior.eleitoral","Tribunal Superior Eleitoral, Plenário; Tribunal Superior Eleitoral",pt-BR,,,,,label_921
55,controladoria.geral.uniao,"Controladoria-Geral da União",pt-BR,CGU,,CGU – Controladoria-Geral da União,Federal::Executivo::Controladoria-Geral da União,label_923
56,imprensa.oficial,"Imprensa Oficial",pt-BR,,,,Estadual::Executivo::Imprensa Oficial,label_932
70,ministerio.marinha,"Ministério da Marinha",pt-BR,,,,Federal::Executivo::Ministério da Marinha,label_1034
71,ministerio.exercito,"Minstério do Exercito",pt-BR,,,,Federal::Executivo::Minstério do Exercito,label_1035
