id,about,prefLabel,lang,altLabel,broader,facetaAcronimo,faceta,prefNodeId
1,br,Brasil,pt-BR,,,,Brasil,label_4
16,br;sao.paulo,"São Paulo",pt-BR,SP,#br,SP – São Paulo,Estados::São Paulo,label_64
17,br;sao.paulo;campinas,"Campinas - SP",pt-BR,,#br;sao.paulo,,Municípios::Campinas - SP,label_66
18,br;sao.paulo;sao.carlos,"São Carlos - SP",pt-BR,,#br;sao.paulo,,Municípios::São Carlos - SP,label_67
20,br;acre,Acre,pt-BR,AC,#br,AC – Acre,Estados::Acre,label_77
21,br;rondonia,Rondônia,pt-BR,RO,#br,RO – Rondônia,Estados::Rondônia,label_79
22,br;parana,Paraná,pt-BR,PR,#br,PR – Paraná,Estados::Paraná,label_81
23,br;rio.grande.sul,"Rio Grande do Sul",pt-BR,RS,#br,RS – Rio Grande do Sul,Estados::Rio Grande do Sul,label_83
27,br;distrito.federal,"Distrito Federal",pt-BR,DF,#br,DF – Distrito Federal,Distrito Federal,label_92
28,br;parana;apucarana,"Apucarana - PR",pt-BR,,#br;parana,,Municípios::Apucarana - PR,label_94
29,br;rio.grande.sul;agudo,"Agudo - RS",pt-BR,,#br;rio.grande.sul,,Municípios::Agudo - RS,label_95
30,br;minas.gerais,"Minas Gerais",pt-BR,MG,#br,MG – Minas Gerais,Estados::Minas Gerais,label_117
31,br;minas.gerais;carneirinho,"Carneirinho - MG",pt-BR,,#br;minas.gerais,,Municípios::Carneirinho - MG,label_119
32,br;minas.gerais;divinopolis,"Divinópolis - MG",pt-BR,,#br;minas.gerais,,Municípios::Divinópolis - MG,label_120
33,br;tocantins,Tocantins,pt-BR,TO,#br,TO – Tocantins,Municípios::Tocantins,label_135
34,br;espirito.santo,"Espírito Santo",pt-BR,ES,#br,ES – Espírito Santo,Estados::Espírito Santo,label_137
35,br;espirito.santo;cachoeiro.itapemirim,"Cachoeiro de Itapemirim - ES",pt-BR,,#br;espirito.santo,,Municípios::Cachoeiro de Itapemirim - ES,label_139
36,br;sao.paulo;catanduva,"Catanduva - SP",pt-BR,,#br;sao.paulo,,Municípios::Catanduva - SP,label_140
37,br;paraiba,Paraíba,pt-BR,PB,#br,PB – Paraíba,Estados::Paraíba,label_141
38,br;paraiba;joao.pessoa,"João Pessoa - PB",pt-BR,,#br;paraiba,,Municípios::João Pessoa - PB,label_143
39,br;goias,Goiás,pt-BR,GO,#br,GO – Goiás,Estados::Goiás,label_144
40,br;goias;jatai,"Jataí - GO",pt-BR,,#br;goias,,Municípios::Jataí - GO,label_146
57,br;justica.eleitoral,"Justiça Eleitoral",pt-BR,,#br,,Justiça Eleitoral,label_1006
58,br;justica.eleitoral;paraiba,Paraíba,pt-BR,PB,#br;justica.eleitoral,PB – Paraíba,Paraíba,label_1007
59,br;justica.trabalho,"Justiça Trabalho",pt-BR,,#br,,Justiça Trabalho,label_1009
60,br;justica.trabalho;regiao.13,"13ª Região - Paraíba",pt-BR,TRT13,#br;justica.trabalho,TRT13 – 13ª Região - Paraíba,Brasil::Justiça do Trabalho::13ª Região - Paraíba,label_1010
61,br;justica.eleitoral;paraiba;zona.22,"22ª Zona",pt-BR,,#br;justica.eleitoral;paraiba,,22ª Zona,label_1011
62,br;justica.federal,"Justiça Federal",pt-BR,,#br,,Justiça Federal,label_1012
63,br;justica.federal;regiao.1,"1ª Região",pt-BR,,#br;justica.federal,,1ª Região,label_1013
64,br;justica.federal;regiao.1;secao.judiciaria,"Seção Judiciária",pt-BR,,#br;justica.federal;regiao.1,,Seção Judiciária,label_1014
65,br;justica.federal;regiao.1;secao.judiciaria;goias,Goiás,pt-BR,GO,#br;justica.federal;regiao.1;secao.judiciaria,GO – Goiás,Goiás,label_1015
66,br;amapa,Amapá,pt-BR,AP,#br,AP – Amapá,Amapá,label_1017
67,br;amapa;justica.estadual,"Justiça Estadual",pt-BR,,#br;amapa,,Justiça Estadual,label_1019
68,br;amapa;justica.estadual;comarca,Comarca,pt-BR,,#br;amapa;justica.estadual,,Comarca,label_1020
69,br;amapa;macapa,"Macapá - AP",pt-BR,,#br;amapa,,Municípios::Macapá - AP,label_1021
131,br;minas.gerais;abadia.dourados,"Abadia dos Dourados - MG",pt-BR,,#br;minas.gerais,,Municípios::Abadia dos Dourados - MG,label_4559
132,br;minas.gerais;abaete,"Abaeté - MG",pt-BR,,#br;minas.gerais,,Municípios::Abaeté - MG,label_4560
133,br;minas.gerais;abre.campo,"Abre Campo - MG",pt-BR,,#br;minas.gerais,,Municípios::Abre Campo - MG,label_4561
134,br;minas.gerais;acaiaca,"Acaiaca - MG",pt-BR,,#br;minas.gerais,,Municípios::Acaiaca - MG,label_4562
135,br;minas.gerais;acucena,"Açucena - MG",pt-BR,,#br;minas.gerais,,Municípios::Açucena - MG,label_4563
136,br;minas.gerais;agua.boa,"Água Boa - MG",pt-BR,,#br;minas.gerais,,Municípios::Água Boa - MG,label_4564
137,br;minas.gerais;agua.comprida,"Água Comprida - MG",pt-BR,,#br;minas.gerais,,Municípios::Água Comprida - MG,label_4565
138,br;minas.gerais;aguanil,"Aguanil - MG",pt-BR,,#br;minas.gerais,,Municípios::Aguanil - MG,label_4566
